,Unnamed: 0,input,target,task_id
0,0,"[0.12, 0.89, 0.73]",A,0
1,1,"[0.54, 0.45, 0.02]",B,0
2,2,"[0.91, 0.81, 0.95]",A,0
3,3,"[0.19, 0.12, 0.38]",B,0
4,4,"[0.76, 0.32, 0.78]",A,0
5,5,"[0.16, 0.89, 0.42]",B,0
6,6,"[0.82, 0.58, 0.05]",A,0
7,7,"[0.5, 0.39, 0.73]",B,0
8,8,"[0.22, 0.76, 0.48]",A,0
9,9,"[0.39, 0.24, 0.82]",B,0
10,10,"[0.68, 0.77, 0.08]",A,0
11,11,"[0.17, 0.5, 0.62]",B,0
12,12,"[0.99, 0.27, 0.6]",A,0
13,13,"[0.9, 0.42, 0.2]",B,0
14,14,"[0.09, 0.77, 0.4]",A,0
15,15,"[0.6, 0.19, 0.51]",B,0
16,16,"[0.56, 0.89, 0.83]",A,0
17,17,"[0.03, 0.19, 0.81]",B,0
18,18,"[0.26, 0.82, 0.43]",A,0
19,19,"[0.44, 0.34, 0.09]",B,0
20,20,"[0.31, 0.12, 0.38]",A,0
21,21,"[0.93, 0.45, 0.02]",B,0
22,22,"[0.13, 0.81, 0.95]",A,0
23,23,"[0.76, 0.88, 0.48]",B,0
24,24,"[0.72, 0.58, 0.03]",A,0
25,25,"[0.42, 0.39, 0.73]",B,0
26,26,"[0.18, 0.76, 0.98]",A,0
27,27,"[0.19, 0.24, 0.82]",B,0
28,28,"[0.51, 0.77, 0.08]",A,0
29,29,"[0.01, 0.5, 0.62]",B,0
30,30,"[0.74, 0.27, 0.6]",A,0
31,31,"[0.88, 0.42, 0.2]",B,0
32,32,"[0.1, 0.17, 0.51]",A,0
33,33,"[0.6, 0.19, 0.51]",B,0
34,34,"[0.76, 0.89, 0.93]",A,0
35,35,"[0.03, 0.19, 0.71]",B,0
36,36,"[0.37, 0.82, 0.43]",A,0
37,37,"[0.04, 0.34, 0.79]",B,0
38,38,"[0.71, 0.12, 0.31]",A,0
39,39,"[0.92, 0.45, 0.86]",B,0
40,40,"[0.05, 0.81, 0.95]",A,0
41,41,"[0.37, 0.88, 0.48]",B,0
42,42,"[0.39, 0.58, 0.03]",A,0
43,43,"[0.92, 0.39, 0.53]",B,0
44,44,"[0.81, 0.76, 0.98]",A,0
45,45,"[0.99, 0.24, 0.32]",B,0
46,46,"[0.11, 0.77, 0.08]",A,0
47,47,"[0.1, 0.5, 0.62]",B,0
48,48,"[0.33, 0.27, 0.9]",A,0
49,49,"[0.41, 0.42, 0.2]",B,0
50,50,"[0.67, 0.17, 0.41]",A,0
51,51,"[0.63, 0.19, 0.51]",B,0
52,52,"[0.42, 0.89, 0.93]",A,0
53,53,"[0.06, 0.19, 0.71]",B,0
54,54,"[0.12, 0.82, 0.13]",A,0
55,55,"[0.9, 0.34, 0.09]",B,0
56,56,"[0.43, 0.12, 0.31]",A,0
57,57,"[0.39, 0.45, 0.86]",B,0
58,58,"[0.01, 0.81, 0.85]",A,0
59,59,"[0.76, 0.88, 0.58]",B,0
60,60,"[0.22, 0.58, 0.03]",A,0
61,61,"[0.9, 0.39, 0.53]",B,0
62,62,"[0.61, 0.76, 0.98]",A,0
63,63,"[0.01, 0.24, 0.82]",B,0
64,64,"[0.09, 0.77, 0.18]",A,0
65,65,"[0.7, 0.5, 0.32]",B,0
66,66,"[0.88, 0.27, 0.6]",A,0
67,67,"[0.11, 0.42, 0.2]",B,0
68,68,"[0.06, 0.17, 0.51]",A,0
69,69,"[0.43, 0.19, 0.81]",B,0
70,70,"[0.46, 0.89, 0.83]",A,0
71,71,"[0.09, 0.19, 0.71]",B,0
72,72,"[0.22, 0.82, 0.43]",A,0
73,73,"[0.99, 0.34, 0.09]",B,0
74,74,"[0.31, 0.12, 0.21]",A,0
75,75,"[0.83, 0.45, 0.96]",B,0
76,76,"[0.03, 0.81, 0.85]",A,0
77,77,"[0.06, 0.88, 0.48]",B,0
78,78,"[0.89, 0.58, 0.03]",A,0
79,79,"[0.6, 0.39, 0.53]",B,0
80,80,"[0.41, 0.76, 0.98]",A,0
81,81,"[0.19, 0.24, 0.72]",B,0
82,82,"[0.16, 0.77, 0.08]",A,0
83,83,"[0.9, 0.5, 0.62]",B,0
84,84,"[0.22, 0.27, 0.7]",A,0
