,feature_names,category_names,task_id
0,"['length', 'width', 'height', 'weight', 'color', 'material']","['furniture', 'clothing']",0
1,"['wingspan', 'beakshape', 'feathercolor', 'leglength', 'habitat', 'diet']","['bird', 'mammal']",1
2,"['cylindercount', 'displacement', 'torque', 'horsepower', 'transmission', 'drivetrain']","['sedan', 'SUV']",2
3,"['sodium', 'calories', 'protein', 'fiber', 'sugar', 'fat']","['healthy', 'unhealthy']",3
4,"['legs', 'armor', 'size', 'habitat', 'diet', 'temperament']","['herbivore', 'carnivore']",4
5,"['SepalLengthCm', 'SepalWidthCm', 'PetalLengthCm', 'PetalWidthCm', 'Species']","['setosa', 'versicolor']",5
6,"['amplitude', 'frequency', 'phase', 'duration', 'timbre', 'harmonics']","['piano', 'violin']",6
7,"['altitude', 'cloudcover', 'precipitation', 'windspeed', 'humidity', 'temperature']","['rainy', 'sunny']",7
8,"['branches', 'leaves', 'flowers', 'roots', 'bark', 'seeds']","['deciduous', 'coniferous']",8
9,"['orbit', 'mass', 'radius', 'composition', 'temperature', 'atmosphere']","['terrestrial', 'gasgiant']",9
10,"['rhythm', 'melody', 'harmony', 'timbre', 'lyrics', 'instrumentation']","['rock', 'classical']",10
11,"['viscosity', 'volatility', 'density', 'burnrate', 'octanerating', 'additives']","['gasoline', 'diesel']",11
12,"['processor', 'RAM', 'storage', 'screensize', 'batterylife', 'weight']","['laptop', 'desktop']",12
13,"['sprintspeed', 'endurance', 'strength', 'agility', 'jumping', 'kicking']","['striker', 'defender']",13
14,"['wheat', 'hops', 'yeast', 'alcohol', 'color', 'carbonation']","['ale', 'lager']",14
15,"['icing', 'layers', 'filling', 'shape', 'decoration', 'texture']","['cake', 'pie']",15
16,"['plot', 'characters', 'narrator', 'setting', 'theme', 'style']","['drama', 'mystery']",16
17,"['bass', 'drums', 'guitar', 'keyboards', 'vocals', 'lyrics']","['rock', 'pop']",17
18,"['length', 'clauses', 'vocabulary', 'tone', 'audience', 'purpose']","['persuasive', 'descriptive']",18
19,"['integers', 'equations', 'geometry', 'algebra', 'trigonometry', 'calculus']","['arithmetic', 'analytics']",19
20,"['brushstrokes', 'composition', 'color', 'medium', 'style', 'subject']","['abstract', 'realism']",20
21,"['cruisingspeed', 'range', 'capacity', 'wingspan', 'engines', 'fueltype']","['propeller', 'jet']",21
